data,catalyst,catalyst content,promote,promote content,preparation method, calcTemperature,calc Time,red Temperature,red Time,red H2,support1,support1_content,support2,support2_content,react Temperature,reac CH4,reac CO2,reac1,reac1_content,GHSV ,Time on stream,CH4 Conversion
28,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,1.333333333,60,47.5549
29,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,0.99009901,60,38.7087
30,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,89.8442
31,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,2,60,83.3057
32,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,1.333333333,60,75.357
33,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,0.99009901,60,67.1519
34,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,90.7234
35,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,2,60,86.3645
36,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,1.333333333,60,80.9796
37,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,0.99009901,60,73.4157
38,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,90.5676
39,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,2,60,89.6704
40,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,1.333333333,60,85.8242
41,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,0.99009901,60,79.2858
42,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,89.4964
43,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,2,60,82.9579
44,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,1.333333333,60,74.4964
45,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,0.99009901,60,66.8039
46,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,18.1
47,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,46.7
48,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,80
49,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,17.8
50,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,51.2
51,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,80.1
52,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,15.6
53,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,44.7
54,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,81
55,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,14.1
56,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,44.5
57,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,81.7
58,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,18.6
59,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,65.8
60,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,87.4
61,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),1,0,0,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,10.2
62,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),1,0,0,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,42
63,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,80.7
64,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,14.7
65,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,41.3
66,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,82.4
67,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,13.4
68,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,39.1
69,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,84
70,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,14.8
71,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,45.1
72,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,82.8
73,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,500,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,14.8
74,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,600,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,49.8
75,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,60,81.3
76,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,87.363
77,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,88.5751
78,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,88.3129
79,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,87.5128
80,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,87.5177
81,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,87.3883
82,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,86.3223
83,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,86.3953
84,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,400,86.4683
85,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,440,86.3389
86,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,500,86.0779
87,Ni,5,0,0,Wet impregnation,500,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,540,85.7473
88,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,79.9181
89,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,79.9229
90,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,79.996
91,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,79.9335
92,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,80.7434
93,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,80.5468
94,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,80.6211
95,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,81.0966
96,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,400,80.9012
97,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,440,81.3086
98,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,500,82.389
99,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,540,82.3267
100,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,80.9242
101,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,80.8619
102,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,80.3983
103,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,79.8665
104,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,79.6702
105,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,79.675
106,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,78.6443
107,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,78.6149
108,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,400,78.9561
109,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,440,78.894
110,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,500,80.0415
111,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.8,La2O3,0.2,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,540,80.1802
112,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,81.662
113,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,81.3314
114,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,81.4716
115,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,81.0067
116,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,80.9446
117,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,80.8154
118,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,80.0843
119,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,79.8893
120,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,400,79.8282
121,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,440,79.6989
122,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,500,79.84
123,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),0.7,La2O3,0.3,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,540,79.7107
124,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,79.9852
125,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,79.9898
126,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,79.7948
127,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,79.5982
128,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,79.4019
129,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,79.2053
130,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,78.8101
131,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,78.2794
132,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,400,76.9441
133,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,440,76.1442
134,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,500,75.9499
135,Ni,5,0,0,Wet impregnation,500,2,650,2,100,Al2O3(Gamma),1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,540,75.3512
136,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,81.2224
137,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,81.1715
138,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,82.3837
139,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,84.1438
140,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,84.6966
141,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,85.3591
142,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,86.2978
143,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,86.1381
144,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,400,86.3077
145,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,440,86.2018
146,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,500,86.4271
147,Ni,5,0,0,Wet impregnation,700,2,650,2,100,La2O3,1,0,0,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,540,86.2116
148,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,30,82.3201
149,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,70,83.5312
150,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,120,83.9203
151,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,160,83.8694
152,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,200,83.544
153,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,240,84.1517
154,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,300,83.9379
155,Ni,5,0,0,Wet impregnation,700,2,650,2,100,Al2O3(Gamma),0.9,La2O3,0.1,700,45.45454545,45.45454545,reac N2 %vol,9.090909091,16.66666667,350,84.382
